sym,date,close,score,qual
AA,26/07/2024,33.43,0,False
AA,02/08/2024,29.47,0,False
AA,09/08/2024,30.56,0,False
AA,16/08/2024,32.12,0,False
AA,23/08/2024,33.92,0,False
AA,30/08/2024,32.1,0,False
AA,06/09/2024,28.53,0,False
AA,13/09/2024,32.52,0,False
AA,20/09/2024,33.83,0,False
AA,27/09/2024,39.27,6,True
AA,04/10/2024,39.12,6,True
AA,11/10/2024,41.02,6,True
AA,18/10/2024,41.71,6,True
AA,25/10/2024,41.1,6,True
AA,01/11/2024,40.57,6,True
AA,08/11/2024,44.78,6,True
AA,15/11/2024,44.02,6,True
AA,22/11/2024,45.47,6,True
AA,29/11/2024,46.43,6,True
AA,06/12/2024,42.49,6,True
AA,13/12/2024,39.12,6,True
AA,20/12/2024,37.84,6,True
AA,27/12/2024,37.68,0,False
AA,03/01/2025,35.71,0,False
AA,10/01/2025,35.91,0,False
AA,17/01/2025,39.53,6,True
AA,24/01/2025,37.43,0,False
AA,31/01/2025,35.32,0,False
AA,07/02/2025,36.12,0,False
AA,14/02/2025,36.24,0,False
AA,21/02/2025,34.4,0,False
AA,28/02/2025,33.25,0,False
AA,07/03/2025,32.84,0,False
AA,14/03/2025,33.53,0,False
AA,21/03/2025,33.95,0,False
AA,28/03/2025,30.66,0,False
AA,04/04/2025,24.81,0,False
AA,11/04/2025,24.75,0,False
AA,18/04/2025,23.32,0,False
AA,25/04/2025,25.71,0,False
AA,02/05/2025,25.53,0,False
AA,09/05/2025,25.92,0,False
AA,16/05/2025,29.4,0,False
AA,23/05/2025,28.07,0,False
AA,30/05/2025,26.77,0,False
AA,06/06/2025,28.01,0,False
AA,13/06/2025,28.35,0,False
AA,20/06/2025,27.86,0,False
AA,27/06/2025,28.47,0,False
AA,04/07/2025,31.15,0,False
AA,11/07/2025,31.09,0,False
AA,18/07/2025,30.33,0,False
AA,25/07/2025,30.84,0,False
AA,01/08/2025,28.4,0,False
AA,08/08/2025,30.17,0,False
AA,15/08/2025,31.27,0,False
AA,22/08/2025,31.68,0,False
AA,29/08/2025,32.19,0,False
AA,05/09/2025,31.83,0,False
AA,12/09/2025,33.24,0,False
AA,19/09/2025,32.46,0,False
AA,26/09/2025,32.71,0,False
AA,03/10/2025,34.5,6,True
AA,10/10/2025,35.02,6,True
AA,17/10/2025,35.97,6,True
AA,24/10/2025,39.42,6,True
AA,31/10/2025,36.79,6,True
AA,07/11/2025,37.32,6,True
AA,14/11/2025,37.59,6,True
AA,21/11/2025,36.34,6,True
AA,28/11/2025,41.74,6,True
AA,05/12/2025,43.77,6,True
AA,12/12/2025,46.14,6,True
AA,19/12/2025,51.25,6,True
AA,26/12/2025,54.25,6,True
AA,02/01/2026,56.54,6,True
AA,09/01/2026,63.67,6,True
AA,16/01/2026,60.07,6,True
AA,23/01/2026,62.21,6,True
AA,30/01/2026,56.81,6,True
AA,06/02/2026,59.16,6,True
AA,13/02/2026,59.95,6,True
AA,20/02/2026,60.49,6,True
AA,27/02/2026,62.08,6,True
AA,06/03/2026,59.65,6,True
AA,13/03/2026,63.59,6,True
AA,20/03/2026,56.45,6,True
AA,27/03/2026,58.41,6,True
AA,03/04/2026,71.53,6,True
AA,10/04/2026,73.03,6,True
AA,17/04/2026,65.62,6,True
AA,24/04/2026,66.01,6,True
AA,01/05/2026,62.63,6,True
AA,08/05/2026,63.18,6,True
AA,15/05/2026,62.53,6,True
AA,22/05/2026,71.38,6,True
AA,29/05/2026,77.64,6,True
AA,05/06/2026,71.89,6,True
AA,12/06/2026,68.77,6,True
AA,19/06/2026,59.37,6,True
AA,26/06/2026,54.1,6,True
AA,03/07/2026,48.68,6,True
AA,10/07/2026,48.68,6,True
AA,17/07/2026,49.06,6,True
AAPL,26/07/2024,217.96,6,True
AAPL,02/08/2024,219.86,6,True
AAPL,09/08/2024,216.24,6,True
AAPL,16/08/2024,226.05,6,True
AAPL,23/08/2024,226.84,6,True
AAPL,30/08/2024,229.0,6,True
AAPL,06/09/2024,220.82,6,True
AAPL,13/09/2024,222.5,6,True
AAPL,20/09/2024,228.2,6,True
AAPL,27/09/2024,227.79,6,True
AAPL,04/10/2024,226.8,6,True
AAPL,11/10/2024,227.55,6,True
AAPL,18/10/2024,235.0,6,True
AAPL,25/10/2024,231.41,6,True
AAPL,01/11/2024,222.91,6,True
AAPL,08/11/2024,226.96,6,True
AAPL,15/11/2024,225.0,6,True
AAPL,22/11/2024,229.87,6,True
AAPL,29/11/2024,237.33,6,True
AAPL,06/12/2024,242.84,6,True
AAPL,13/12/2024,248.13,6,True
AAPL,20/12/2024,254.49,6,True
AAPL,27/12/2024,255.59,6,True
AAPL,03/01/2025,243.36,6,True
AAPL,10/01/2025,236.85,6,True
AAPL,17/01/2025,229.98,6,True
AAPL,24/01/2025,222.78,6,True
AAPL,31/01/2025,236.0,6,True
AAPL,07/02/2025,227.63,6,True
AAPL,14/02/2025,244.6,6,True
AAPL,21/02/2025,245.55,6,True
AAPL,28/02/2025,241.84,6,True
AAPL,07/03/2025,239.07,6,True
AAPL,14/03/2025,213.49,6,True
AAPL,21/03/2025,218.27,6,True
AAPL,28/03/2025,217.9,6,True
AAPL,04/04/2025,188.38,0,False
